TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
Book                                                                                                                             BookID                                                                                                                           int                                                                                                                             
Book                                                                                                                             Title                                                                                                                            nvarchar                                                                                                                        
Book                                                                                                                             Summary                                                                                                                          nvarchar                                                                                                                        
Book                                                                                                                             Description                                                                                                                      nvarchar                                                                                                                        
Book                                                                                                                             CoverURL                                                                                                                         nvarchar                                                                                                                        
Book                                                                                                                             ContentPath                                                                                                                      nvarchar                                                                                                                        
Book                                                                                                                             Price                                                                                                                            decimal                                                                                                                         
Book                                                                                                                             Currency                                                                                                                         nvarchar                                                                                                                        
Book                                                                                                                             TotalPages                                                                                                                       int                                                                                                                             
Book                                                                                                                             PreviewPages                                                                                                                     int                                                                                                                             
Book                                                                                                                             Status                                                                                                                           nvarchar                                                                                                                        
Book                                                                                                                             CreatedAt                                                                                                                        datetime2                                                                                                                       
Book                                                                                                                             UpdatedAt                                                                                                                        datetime2                                                                                                                       
Book                                                                                                                             AuthorID                                                                                                                         int                                                                                                                             
Book                                                                                                                             CategoryID                                                                                                                       int                                                                                                                             
Book                                                                                                                             CreatedByEmployeeID                                                                                                              int                                                                                                                             
Book                                                                                                                             UpdatedByEmployeeID                                                                                                              int                                                                                                                             
Book                                                                                                                             Language                                                                                                                         nvarchar                                                                                                                        
Book                                                                                                                             PublicationYear                                                                                                                  int                                                                                                                             
Book                                                                                                                             stock_quantity                                                                                                                   int                                                                                                                             
BookCopy                                                                                                                         copy_id                                                                                                                          int                                                                                                                             
BookCopy                                                                                                                         book_id                                                                                                                          int                                                                                                                             
BookCopy                                                                                                                         copy_code                                                                                                                        nvarchar                                                                                                                        
BookCopy                                                                                                                         status                                                                                                                           nvarchar                                                                                                                        
BookCopy                                                                                                                         created_at                                                                                                                       datetime2                                                                                                                       
Bookmark                                                                                                                         bookmark_id                                                                                                                      int                                                                                                                             
Bookmark                                                                                                                         reader_id                                                                                                                        int                                                                                                                             
Bookmark                                                                                                                         book_id                                                                                                                          int                                                                                                                             
Bookmark                                                                                                                         page_number                                                                                                                      int                                                                                                                             
Bookmark                                                                                                                         note                                                                                                                             nvarchar                                                                                                                        
Bookmark                                                                                                                         created_at                                                                                                                       datetime2                                                                                                                       
Borrow                                                                                                                           borrow_id                                                                                                                        int                                                                                                                             
Borrow                                                                                                                           reader_id                                                                                                                        int                                                                                                                             
Borrow                                                                                                                           request_id                                                                                                                       int                                                                                                                             
Borrow                                                                                                                           borrow_date                                                                                                                      datetime2                                                                                                                       
Borrow                                                                                                                           status                                                                                                                           nvarchar                                                                                                                        
Borrow                                                                                                                           created_at                                                                                                                       datetime2                                                                                                                       
Borrow                                                                                                                           approved_by_employee_id                                                                                                          int                                                                                                                             
Borrow_Extend                                                                                                                    extend_id                                                                                                                        int                                                                                                                             
Borrow_Extend                                                                                                                    borrow_item_id                                                                                                                   int                                                                                                                             
Borrow_Extend                                                                                                                    old_due_date                                                                                                                     datetime2                                                                                                                       
Borrow_Extend                                                                                                                    requested_due_date                                                                                                               datetime2                                                                                                                       
Borrow_Extend                                                                                                                    approved_due_date                                                                                                                datetime2                                                                                                                       
Borrow_Extend                                                                                                                    status                                                                                                                           nvarchar                                                                                                                        
Borrow_Extend                                                                                                                    requested_at                                                                                                                     datetime2                                                                                                                       
Borrow_Extend                                                                                                                    processed_at                                                                                                                     datetime2                                                                                                                       
Borrow_Extend                                                                                                                    decision_note                                                                                                                    nvarchar                                                                                                                        
Borrow_Extend                                                                                                                    approved_by_employee_id                                                                                                          int                                                                                                                             
Borrow_Item                                                                                                                      borrow_item_id                                                                                                                   int                                                                                                                             
Borrow_Item                                                                                                                      borrow_id                                                                                                                        int                                                                                                                             
Borrow_Item                                                                                                                      copy_id                                                                                                                          int                                                                                                                             
Borrow_Item                                                                                                                      due_date                                                                                                                         datetime2                                                                                                                       
Borrow_Item                                                                                                                      returned_at                                                                                                                      datetime2                                                                                                                       
Borrow_Item                                                                                                                      status                                                                                                                           nvarchar                                                                                                                        
Borrow_Request                                                                                                                   request_id                                                                                                                       int                                                                                                                             
Borrow_Request                                                                                                                   reader_id                                                                                                                        int                                                                                                                             
Borrow_Request                                                                                                                   status                                                                                                                           nvarchar                                                                                                                        
Borrow_Request                                                                                                                   requested_at                                                                                                                     datetime2                                                                                                                       
Borrow_Request                                                                                                                   note                                                                                                                             nvarchar                                                                                                                        
Borrow_Request                                                                                                                   processed_by_employee_id                                                                                                         int                                                                                                                             
Borrow_Request                                                                                                                   processed_at                                                                                                                     datetime2                                                                                                                       
Borrow_Request                                                                                                                   decision_note                                                                                                                    nvarchar                                                                                                                        
Borrow_Request                                                                                                                   expected_start_date                                                                                                              date                                                                                                                            
Borrow_Request                                                                                                                   expected_return_date                                                                                                             date                                                                                                                            
Borrow_Request_Item                                                                                                              request_item_id                                                                                                                  int                                                                                                                             
Borrow_Request_Item                                                                                                              request_id                                                                                                                       int                                                                                                                             
Borrow_Request_Item                                                                                                              book_id                                                                                                                          int                                                                                                                             
Borrow_Request_Item                                                                                                              quantity                                                                                                                         int                                                                                                                             

(68 rows affected)
