TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                       
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
Borrow_Item                                                                                                                      borrow_item_id                                                                                                                   int                                                                                                                             
Borrow_Item                                                                                                                      borrow_id                                                                                                                        int                                                                                                                             
Borrow_Item                                                                                                                      copy_id                                                                                                                          int                                                                                                                             
Borrow_Item                                                                                                                      due_date                                                                                                                         datetime2                                                                                                                       
Borrow_Item                                                                                                                      returned_at                                                                                                                      datetime2                                                                                                                       
Borrow_Item                                                                                                                      status                                                                                                                           nvarchar                                                                                                                        
Borrow_Request                                                                                                                   request_id                                                                                                                       int                                                                                                                             
Borrow_Request                                                                                                                   reader_id                                                                                                                        int                                                                                                                             
Borrow_Request                                                                                                                   status                                                                                                                           nvarchar                                                                                                                        
Borrow_Request                                                                                                                   requested_at                                                                                                                     datetime2                                                                                                                       
Borrow_Request                                                                                                                   note                                                                                                                             nvarchar                                                                                                                        
Borrow_Request                                                                                                                   processed_by_employee_id                                                                                                         int                                                                                                                             
Borrow_Request                                                                                                                   processed_at                                                                                                                     datetime2                                                                                                                       
Borrow_Request                                                                                                                   decision_note                                                                                                                    nvarchar                                                                                                                        
Borrow_Request                                                                                                                   expected_start_date                                                                                                              date                                                                                                                            
Borrow_Request                                                                                                                   expected_return_date                                                                                                             date                                                                                                                            
Fine                                                                                                                             fine_id                                                                                                                          int                                                                                                                             
Fine                                                                                                                             reader_id                                                                                                                        int                                                                                                                             
Fine                                                                                                                             borrow_item_id                                                                                                                   int                                                                                                                             
Fine                                                                                                                             fine_type_id                                                                                                                     int                                                                                                                             
Fine                                                                                                                             amount                                                                                                                           decimal                                                                                                                         
Fine                                                                                                                             reason                                                                                                                           nvarchar                                                                                                                        
Fine                                                                                                                             status                                                                                                                           nvarchar                                                                                                                        
Fine                                                                                                                             created_at                                                                                                                       datetime2                                                                                                                       
Fine                                                                                                                             paid_at                                                                                                                          datetime2                                                                                                                       
Fine                                                                                                                             handled_by_employee_id                                                                                                           int                                                                                                                             
Payment                                                                                                                          payment_id                                                                                                                       int                                                                                                                             
Payment                                                                                                                          order_id                                                                                                                         int                                                                                                                             
Payment                                                                                                                          amount                                                                                                                           decimal                                                                                                                         
Payment                                                                                                                          payment_method                                                                                                                   nvarchar                                                                                                                        
Payment                                                                                                                          payment_status                                                                                                                   nvarchar                                                                                                                        
Payment                                                                                                                          transaction_code                                                                                                                 nvarchar                                                                                                                        
Payment                                                                                                                          paid_at                                                                                                                          datetime2                                                                                                                       
Payment                                                                                                                          created_at                                                                                                                       datetime2                                                                                                                       

(34 rows affected)
